Metabolites,Class,Treatment type,Treatment concentration,Replicate,Metabolite concentration
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,RL,0.06,2,-1.013923569
"3,4-Dihydroxycinnamic acid, 3TMS",,RL,0.06,2,-1.979000366
"2-Palmitoylglycerol, 2TMS",,RL,0.06,2,0.08034727
"Altronic acid, 1,4-lactone, TMS",,RL,0.06,2,-1.297428323
"Uridine, tris-TMS",Nucleic acids,RL,0.06,2,-0.551336721
"Mannonic acid, 1,4-lactone, (4TMS)",,RL,0.06,2,-1.357357544
Monostearin TMS,,RL,0.06,2,1.233982977
Adenine 2TMS,Nucleic acids,RL,0.06,3,-1.146603626
Serine 3TMS,Amino acids,RL,0.06,3,-0.33759909
L-Threonine 3TMS,Amino acids,RL,0.06,3,-0.309517527
Malic acid 3TMS,Organic acids,RL,0.06,3,0.32065304
L-Aspartic acid 3TMS,Amino acids,RL,0.06,3,-1.209617609
"Pipecolic acid, TMS derivative",Alkaloids,RL,0.06,3,-0.167445284
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,RL,0.06,3,-1.387188675
Tryptamine,Alkaloids,RL,0.06,3,-0.545393914
Phenylpyruvic acid oxime 2TMS,,RL,0.06,3,0.084057758
L-Glutamine 3TMS,Amino acids,RL,0.06,3,-0.177703041
L-phenylalanine 2TMS,Amino acids,RL,0.06,3,-1.136313892
L-(+)-Tartaric acid 4TMS,Organic acids,RL,0.06,3,-0.213553087
2-Keto-L-gulonic acid,Carbohydrates,RL,0.06,3,-0.1404584
"Arabinose, 4TMS",Carbohydrates,RL,0.06,3,0.182350466
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,RL,0.06,3,3.23574688
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,RL,0.06,3,1.424082825
"Fructose, MEOX-5TMS",Carbohydrates,RL,0.06,3,-0.965320488
Glyceric acid 3TMS,Organic acids,RL,0.06,3,-1.355269702
"Lactose, TMS",Carbohydrates,RL,0.06,3,-0.706649408
β-D-Glucopyranose TMS,Carbohydrates,RL,0.06,3,-0.876230395
5-Methoxyindoleacetic acid,Indoles,RL,0.06,3,-1.894148355
Erythrose MEOX-3TMS,Carbohydrates,RL,0.06,3,-0.12145006
Glucose-MOX-5TMS-PK2,Carbohydrates,RL,0.06,3,0.458314407
"Xylose, TMS",Carbohydrates,RL,0.06,3,-0.824679509
"Myo-Inositol, 6TMS",Carbohydrates,RL,0.06,3,-1.14163964
"Palmitic acid, TMS",Fatty acids,RL,0.06,3,-1.418672441
L-Rhamnose 4TMS,Carbohydrates,RL,0.06,3,-0.272644285
"Myristic acid, TMS",Fatty acids,RL,0.06,3,-0.550875304
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,RL,0.06,3,-1.38499522
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,RL,0.06,3,-0.970995738
"3,4-Dihydroxycinnamic acid, 3TMS",,RL,0.06,3,-0.164143329
"2-Palmitoylglycerol, 2TMS",,RL,0.06,3,-1.195832777
"Altronic acid, 1,4-lactone, TMS",,RL,0.06,3,-0.061031066
"Uridine, tris-TMS",Nucleic acids,RL,0.06,3,-0.528942698
"Mannonic acid, 1,4-lactone, (4TMS)",,RL,0.06,3,-1.032392792
Monostearin TMS,,RL,0.06,3,-0.926750332
Adenine 2TMS,Nucleic acids,RL,0.06,4,-0.913768307
Serine 3TMS,Amino acids,RL,0.06,4,-0.492844671
L-Threonine 3TMS,Amino acids,RL,0.06,4,-0.427128441
Malic acid 3TMS,Organic acids,RL,0.06,4,0.224321932
L-Aspartic acid 3TMS,Amino acids,RL,0.06,4,-0.886208348
"Pipecolic acid, TMS derivative",Alkaloids,RL,0.06,4,-0.195987484
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,RL,0.06,4,-1.16851534
Tryptamine,Alkaloids,RL,0.06,4,-0.433669983
Phenylpyruvic acid oxime 2TMS,,RL,0.06,4,0.096548754
L-Glutamine 3TMS,Amino acids,RL,0.06,4,-0.642589048
L-phenylalanine 2TMS,Amino acids,RL,0.06,4,-0.851677767
L-(+)-Tartaric acid 4TMS,Organic acids,RL,0.06,4,-0.441402964
2-Keto-L-gulonic acid,Carbohydrates,RL,0.06,4,-0.164420205
"Arabinose, 4TMS",Carbohydrates,RL,0.06,4,-0.345429216
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,RL,0.06,4,-0.175340089
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,RL,0.06,4,1.285123954
"Fructose, MEOX-5TMS",Carbohydrates,RL,0.06,4,-0.96456283
Glyceric acid 3TMS,Organic acids,RL,0.06,4,0.686008581
"Lactose, TMS",Carbohydrates,RL,0.06,4,-0.10011596
β-D-Glucopyranose TMS,Carbohydrates,RL,0.06,4,-0.900259839
5-Methoxyindoleacetic acid,Indoles,RL,0.06,4,-1.713017116
Erythrose MEOX-3TMS,Carbohydrates,RL,0.06,4,-0.764993026
Glucose-MOX-5TMS-PK2,Carbohydrates,RL,0.06,4,0.254128947
"Xylose, TMS",Carbohydrates,RL,0.06,4,-0.837803096
"Myo-Inositol, 6TMS",Carbohydrates,RL,0.06,4,-0.938453029
"Palmitic acid, TMS",Fatty acids,RL,0.06,4,-1.062236154
L-Rhamnose 4TMS,Carbohydrates,RL,0.06,4,-0.571044167
"Myristic acid, TMS",Fatty acids,RL,0.06,4,-1.308207736
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,RL,0.06,4,-0.985596904
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,RL,0.06,4,-0.823089963
"3,4-Dihydroxycinnamic acid, 3TMS",,RL,0.06,4,0.35335596
"2-Palmitoylglycerol, 2TMS",,RL,0.06,4,-0.222586632
"Altronic acid, 1,4-lactone, TMS",,RL,0.06,4,-0.876233142
"Uridine, tris-TMS",Nucleic acids,RL,0.06,4,-0.504977329
"Mannonic acid, 1,4-lactone, (4TMS)",,RL,0.06,4,-0.810678912
Monostearin TMS,,RL,0.06,4,-0.829418273
Adenine 2TMS,Nucleic acids,RL,0.06,5,-1.374116948
Serine 3TMS,Amino acids,RL,0.06,5,-0.648310264
L-Threonine 3TMS,Amino acids,RL,0.06,5,-0.419420385
Malic acid 3TMS,Organic acids,RL,0.06,5,0.200232849
L-Aspartic acid 3TMS,Amino acids,RL,0.06,5,-1.219599909
"Pipecolic acid, TMS derivative",Alkaloids,RL,0.06,5,-0.214512169
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,RL,0.06,5,-1.393938267
Tryptamine,Alkaloids,RL,0.06,5,-0.593557407
Phenylpyruvic acid oxime 2TMS,,RL,0.06,5,0.116026909
L-Glutamine 3TMS,Amino acids,RL,0.06,5,-0.76239793
L-phenylalanine 2TMS,Amino acids,RL,0.06,5,-1.145099333
L-(+)-Tartaric acid 4TMS,Organic acids,RL,0.06,5,-0.413639644
2-Keto-L-gulonic acid,Carbohydrates,RL,0.06,5,-0.272914749
"Arabinose, 4TMS",Carbohydrates,RL,0.06,5,-0.456895255
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,RL,0.06,5,-0.321112192
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,RL,0.06,5,1.183786832
"Fructose, MEOX-5TMS",Carbohydrates,RL,0.06,5,0.624473426
Glyceric acid 3TMS,Organic acids,RL,0.06,5,-1.361084009
"Lactose, TMS",Carbohydrates,RL,0.06,5,-0.754188755
β-D-Glucopyranose TMS,Carbohydrates,RL,0.06,5,-1.051122331
5-Methoxyindoleacetic acid,Indoles,RL,0.06,5,0.532468027
Erythrose MEOX-3TMS,Carbohydrates,RL,0.06,5,0.265063142
Glucose-MOX-5TMS-PK3,Carbohydrates,RL,0.06,5,0.320050664
"Xylose, TMS",Carbohydrates,RL,0.06,5,-0.943235877
"Myo-Inositol, 6TMS",Carbohydrates,RL,0.06,5,-0.88875142
"Palmitic acid, TMS",Fatty acids,RL,0.06,5,-1.098775764
L-Rhamnose 4TMS,Carbohydrates,RL,0.06,5,-0.295851817
"Myristic acid, TMS",Fatty acids,RL,0.06,5,-1.533177085
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,RL,0.06,5,-0.892111351
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,RL,0.06,5,-1.046223146
"3,4-Dihydroxycinnamic acid, 3TMS",,RL,0.06,5,-1.486575561
"2-Palmitoylglycerol, 2TMS",,RL,0.06,5,0.075775573
"Altronic acid, 1,4-lactone, TMS",,RL,0.06,5,-1.052328008
"Uridine, tris-TMS",Nucleic acids,RL,0.06,5,-0.419979371
"Mannonic acid, 1,4-lactone, (4TMS)",,RL,0.06,5,-1.03923624
Monostearin TMS,,RL,0.06,5,-0.848311903
Adenine 2TMS,Nucleic acids,RL,0.125,1,-0.477664784
Serine 3TMS,Amino acids,RL,0.125,1,-1.351204084
L-Threonine 3TMS,Amino acids,RL,0.125,1,-0.727705772
Malic acid 3TMS,Organic acids,RL,0.125,1,0.915645954
L-Aspartic acid 3TMS,Amino acids,RL,0.125,1,-0.834150445
"Pipecolic acid, TMS derivative",Alkaloids,RL,0.125,1,-1.707716084
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,RL,0.125,1,-1.133316594
Tryptamine,Alkaloids,RL,0.125,1,-0.237228665
Phenylpyruvic acid oxime 2TMS,,RL,0.125,1,-2.117577818
L-Glutamine 3TMS,Amino acids,RL,0.125,1,-0.623871185
L-phenylalanine 2TMS,Amino acids,RL,0.125,1,-0.805860628
L-(+)-Tartaric acid 4TMS,Organic acids,RL,0.125,1,-0.523112715
2-Keto-L-gulonic acid,Carbohydrates,RL,0.125,1,-0.355561507
"Arabinose, 4TMS",Carbohydrates,RL,0.125,1,0.01109407
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,RL,0.125,1,-0.662806764
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,RL,0.125,1,0.953221651
"Fructose, MEOX-5TMS",Carbohydrates,RL,0.125,1,-0.961213785
Glyceric acid 3TMS,Organic acids,RL,0.125,1,-1.136576672
"Lactose, TMS",Carbohydrates,RL,0.125,1,-0.197045132
β-D-Glucopyranose TMS,Carbohydrates,RL,0.125,1,-0.770959741
5-Methoxyindoleacetic acid,Indoles,RL,0.125,1,0.821518934
Erythrose MEOX-3TMS,Carbohydrates,RL,0.125,1,-0.064456893
Glucose-MOX-5TMS-PK3,Carbohydrates,RL,0.125,1,0.867795698
"Xylose, TMS",Carbohydrates,RL,0.125,1,-0.888602939
"Myo-Inositol, 6TMS",Carbohydrates,RL,0.125,1,-0.922035617
"Palmitic acid, TMS",Fatty acids,RL,0.125,1,-1.095934678
L-Rhamnose 4TMS,Carbohydrates,RL,0.125,1,-0.894664435
"Myristic acid, TMS",Fatty acids,RL,0.125,1,-0.421013958
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,RL,0.125,1,-1.041294547
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,RL,0.125,1,-0.629381516
"3,4-Dihydroxycinnamic acid, 3TMS",,RL,0.125,1,0.403184429
"2-Palmitoylglycerol, 2TMS",,RL,0.125,1,-0.10169598
"Altronic acid, 1,4-lactone, TMS",,RL,0.125,1,-0.84873676
"Uridine, tris-TMS",Nucleic acids,RL,0.125,1,-0.63604928
"Mannonic acid, 1,4-lactone, (4TMS)",,RL,0.125,1,-0.774990772
Monostearin TMS,,RL,0.125,1,1.20743785
Adenine 2TMS,Nucleic acids,RL,0.125,2,-0.875213695
Serine 3TMS,Amino acids,RL,0.125,2,-0.629745833
L-Threonine 3TMS,Amino acids,RL,0.125,2,-0.682407887
Malic acid 3TMS,Organic acids,RL,0.125,2,0.266840541
L-Aspartic acid 3TMS,Amino acids,RL,0.125,2,-1.095212546
"Pipecolic acid, TMS derivative",Alkaloids,RL,0.125,2,-0.390300936
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,RL,0.125,2,-1.309833282
Tryptamine,Alkaloids,RL,0.125,2,-0.627908606
Phenylpyruvic acid oxime 2TMS,,RL,0.125,2,-0.075944815
L-Glutamine 3TMS,Amino acids,RL,0.125,2,-0.717713908
L-phenylalanine 2TMS,Amino acids,RL,0.125,2,-1.035625309
L-(+)-Tartaric acid 4TMS,Organic acids,RL,0.125,2,-0.472839866
2-Keto-L-gulonic acid,Carbohydrates,RL,0.125,2,-0.456989392
"Arabinose, 4TMS",Carbohydrates,RL,0.125,2,-0.34836343
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,RL,0.125,2,-0.23475078
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,RL,0.125,2,1.140755561
"Fructose, MEOX-5TMS",Carbohydrates,RL,0.125,2,0.571389977
Glyceric acid 3TMS,Organic acids,RL,0.125,2,0.722180922
"Lactose, TMS",Carbohydrates,RL,0.125,2,-0.742620083
β-D-Glucopyranose TMS,Carbohydrates,RL,0.125,2,-1.149200544
5-Methoxyindoleacetic acid,Indoles,RL,0.125,2,0.462583754
Erythrose MEOX-3TMS,Carbohydrates,RL,0.125,2,-1.02061019
Glucose-MOX-5TMS-PK4,Carbohydrates,RL,0.125,2,0.875588784
"Xylose, TMS",Carbohydrates,RL,0.125,2,-1.027552906
"Myo-Inositol, 6TMS",Carbohydrates,RL,0.125,2,-0.975136016
"Palmitic acid, TMS",Fatty acids,RL,0.125,2,-1.052927164
L-Rhamnose 4TMS,Carbohydrates,RL,0.125,2,-0.48705776
"Myristic acid, TMS",Fatty acids,RL,0.125,2,-0.180811554
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,RL,0.125,2,-1.456958736
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,RL,0.125,2,-0.762977926
"3,4-Dihydroxycinnamic acid, 3TMS",,RL,0.125,2,0.226130297
"2-Palmitoylglycerol, 2TMS",,RL,0.125,2,0.025778437
"Altronic acid, 1,4-lactone, TMS",,RL,0.125,2,-0.986627229
"Uridine, tris-TMS",Nucleic acids,RL,0.125,2,-0.680447997
"Mannonic acid, 1,4-lactone, (4TMS)",,RL,0.125,2,-0.953961769
Monostearin TMS,,RL,0.125,2,-0.817280143
Adenine 2TMS,Nucleic acids,RL,0.125,3,-0.587683508
Serine 3TMS,Amino acids,RL,0.125,3,-0.955517049
L-Threonine 3TMS,Amino acids,RL,0.125,3,-0.618645909
Malic acid 3TMS,Organic acids,RL,0.125,3,0.450039876
L-Aspartic acid 3TMS,Amino acids,RL,0.125,3,-0.677871939
"Pipecolic acid, TMS derivative",Alkaloids,RL,0.125,3,-1.599363498
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,RL,0.125,3,0.490401891
Tryptamine,Alkaloids,RL,0.125,3,-0.534177782
Phenylpyruvic acid oxime 2TMS,,RL,0.125,3,-0.030338783
L-Glutamine 3TMS,Amino acids,RL,0.125,3,-0.567669829
L-phenylalanine 2TMS,Amino acids,RL,0.125,3,-0.668316571
L-(+)-Tartaric acid 4TMS,Organic acids,RL,0.125,3,-0.18418728
2-Keto-L-gulonic acid,Carbohydrates,RL,0.125,3,-0.399094259
"Arabinose, 4TMS",Carbohydrates,RL,0.125,3,0.07354383
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,RL,0.125,3,-0.198439179
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,RL,0.125,3,0.878543891
"Fructose, MEOX-5TMS",Carbohydrates,RL,0.125,3,-0.954944462
Glyceric acid 3TMS,Organic acids,RL,0.125,3,-1.045552159
"Lactose, TMS",Carbohydrates,RL,0.125,3,-0.777036581
β-D-Glucopyranose TMS,Carbohydrates,RL,0.125,3,-0.831808687
5-Methoxyindoleacetic acid,Indoles,RL,0.125,3,0.802266152
Erythrose MEOX-3TMS,Carbohydrates,RL,0.125,3,-0.750388083
Glucose-MOX-5TMS-PK4,Carbohydrates,RL,0.125,3,-2.549006118
"Xylose, TMS",Carbohydrates,RL,0.125,3,-0.770708298
"Myo-Inositol, 6TMS",Carbohydrates,RL,0.125,3,-0.991652578
"Palmitic acid, TMS",Fatty acids,RL,0.125,3,-0.761733823
L-Rhamnose 4TMS,Carbohydrates,RL,0.125,3,-0.491714385
"Myristic acid, TMS",Fatty acids,RL,0.125,3,-1.167625721
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,RL,0.125,3,-0.630349341
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,RL,0.125,3,-0.384727321
"3,4-Dihydroxycinnamic acid, 3TMS",,RL,0.125,3,-0.910723851
"2-Palmitoylglycerol, 2TMS",,RL,0.125,3,0.09630973
"Altronic acid, 1,4-lactone, TMS",,RL,0.125,3,-0.766192463
"Uridine, tris-TMS",Nucleic acids,RL,0.125,3,-0.794851807
"Mannonic acid, 1,4-lactone, (4TMS)",,RL,0.125,3,-0.667854778
Monostearin TMS,,RL,0.125,3,-0.78144065
Adenine 2TMS,Nucleic acids,RL,0.125,4,-0.706874096
Serine 3TMS,Amino acids,RL,0.125,4,-0.839727749
L-Threonine 3TMS,Amino acids,RL,0.125,4,-0.467186875
Malic acid 3TMS,Organic acids,RL,0.125,4,0.592708006
L-Aspartic acid 3TMS,Amino acids,RL,0.125,4,-0.704591027
"Pipecolic acid, TMS derivative",Alkaloids,RL,0.125,4,-0.265153805
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,RL,0.125,4,0.52231472
Tryptamine,Alkaloids,RL,0.125,4,-0.447572858
Phenylpyruvic acid oxime 2TMS,,RL,0.125,4,0.054215037
L-Glutamine 3TMS,Amino acids,RL,0.125,4,-0.577279543
L-phenylalanine 2TMS,Amino acids,RL,0.125,4,-0.691832649
L-(+)-Tartaric acid 4TMS,Organic acids,RL,0.125,4,-0.059946953
2-Keto-L-gulonic acid,Carbohydrates,RL,0.125,4,-0.209058568
"Arabinose, 4TMS",Carbohydrates,RL,0.125,4,-0.024987191
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,RL,0.125,4,-0.18701371
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,RL,0.125,4,1.083340778
"Fructose, MEOX-5TMS",Carbohydrates,RL,0.125,4,0.567097565
Glyceric acid 3TMS,Organic acids,RL,0.125,4,0.8821158
"Lactose, TMS",Carbohydrates,RL,0.125,4,-0.151732229
β-D-Glucopyranose TMS,Carbohydrates,RL,0.125,4,-0.755100937
5-Methoxyindoleacetic acid,Indoles,RL,0.125,4,0.488114408
Erythrose MEOX-3TMS,Carbohydrates,RL,0.125,4,-0.66207443
Glucose-MOX-5TMS-PK5,Carbohydrates,RL,0.125,4,-0.678612472
"Xylose, TMS",Carbohydrates,RL,0.125,4,-0.779305297
"Myo-Inositol, 6TMS",Carbohydrates,RL,0.125,4,-0.863230963
"Palmitic acid, TMS",Fatty acids,RL,0.125,4,-0.960874508
L-Rhamnose 4TMS,Carbohydrates,RL,0.125,4,-0.913345665
"Myristic acid, TMS",Fatty acids,RL,0.125,4,-1.18565529
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,RL,0.125,4,-0.876436523
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,RL,0.125,4,-0.981560235
"3,4-Dihydroxycinnamic acid, 3TMS",,RL,0.125,4,-0.939135557
"2-Palmitoylglycerol, 2TMS",,RL,0.125,4,0.103751872
"Altronic acid, 1,4-lactone, TMS",,RL,0.125,4,-0.780305123
"Uridine, tris-TMS",Nucleic acids,RL,0.125,4,-0.770902958
"Mannonic acid, 1,4-lactone, (4TMS)",,RL,0.125,4,-0.686171899
Monostearin TMS,,RL,0.125,4,-0.824765718
Adenine 2TMS,Nucleic acids,RL,0.125,5,-0.634986387
Serine 3TMS,Amino acids,RL,0.125,5,-0.713810466
L-Threonine 3TMS,Amino acids,RL,0.125,5,-0.455480561
Malic acid 3TMS,Organic acids,RL,0.125,5,0.488766312
L-Aspartic acid 3TMS,Amino acids,RL,0.125,5,-0.682834139
"Pipecolic acid, TMS derivative",Alkaloids,RL,0.125,5,-0.288159949
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,RL,0.125,5,0.617373506
Tryptamine,Alkaloids,RL,0.125,5,-0.459392639
Phenylpyruvic acid oxime 2TMS,,RL,0.125,5,0.118488877
L-Glutamine 3TMS,Amino acids,RL,0.125,5,-0.569454545
L-phenylalanine 2TMS,Amino acids,RL,0.125,5,-0.672683917
L-(+)-Tartaric acid 4TMS,Organic acids,RL,0.125,5,0.044378899
2-Keto-L-gulonic acid,Carbohydrates,RL,0.125,5,-0.041322985
"Arabinose, 4TMS",Carbohydrates,RL,0.125,5,0.529322092
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,RL,0.125,5,-0.109098219
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,RL,0.125,5,1.087102729
"Fructose, MEOX-5TMS",Carbohydrates,RL,0.125,5,2.16874073
Glyceric acid 3TMS,Organic acids,RL,0.125,5,0.771900012
"Lactose, TMS",Carbohydrates,RL,0.125,5,-0.669610765
β-D-Glucopyranose TMS,Carbohydrates,RL,0.125,5,-0.627609199
5-Methoxyindoleacetic acid,Indoles,RL,0.125,5,-1.599100844
Erythrose MEOX-3TMS,Carbohydrates,RL,0.125,5,0.057543924
Glucose-MOX-5TMS-PK5,Carbohydrates,RL,0.125,5,-0.664366947
"Xylose, TMS",Carbohydrates,RL,0.125,5,-0.572647617
"Myo-Inositol, 6TMS",Carbohydrates,RL,0.125,5,-0.825322789
"Palmitic acid, TMS",Fatty acids,RL,0.125,5,-0.438580676
L-Rhamnose 4TMS,Carbohydrates,RL,0.125,5,-0.305419641
"Myristic acid, TMS",Fatty acids,RL,0.125,5,-1.170974125
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,RL,0.125,5,-0.260734793
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,RL,0.125,5,-0.653004718
"3,4-Dihydroxycinnamic acid, 3TMS",,RL,0.125,5,-0.916000444
"2-Palmitoylglycerol, 2TMS",,RL,0.125,5,-0.429160988
"Altronic acid, 1,4-lactone, TMS",,RL,0.125,5,-0.117172278
"Uridine, tris-TMS",Nucleic acids,RL,0.125,5,-0.602909989
"Mannonic acid, 1,4-lactone, (4TMS)",,RL,0.125,5,-0.671256585
Monostearin TMS,,RL,0.125,5,-0.826921
Adenine 2TMS,Nucleic acids,RL,0.25,1,-0.858631523
Serine 3TMS,Amino acids,RL,0.25,1,-1.107072871
L-Threonine 3TMS,Amino acids,RL,0.25,1,-0.804916354
Malic acid 3TMS,Organic acids,RL,0.25,1,0.56111726
L-Aspartic acid 3TMS,Amino acids,RL,0.25,1,-1.067400323
"Pipecolic acid, TMS derivative",Alkaloids,RL,0.25,1,-0.495806476
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,RL,0.25,1,0.294040086
